Column 1,Column 2,Modifier Indicator
00170,93000,Standard preparation/monitoring services for anesthesia
00170,93010,Standard preparation/monitoring services for anesthesia
00170,99213,Standard preparation/monitoring services for anesthesia
00170,99282,Standard preparation/monitoring services for anesthesia
00170,99283,Standard preparation/monitoring services for anesthesia
00172,93000,Standard preparation/monitoring services for anesthesia
00172,93010,Standard preparation/monitoring services for anesthesia
00172,99213,Standard preparation/monitoring services for anesthesia
00172,99282,Standard preparation/monitoring services for anesthesia
00172,99283,Standard preparation/monitoring services for anesthesia
00174,93000,Standard preparation/monitoring services for anesthesia
00174,93010,Standard preparation/monitoring services for anesthesia
00174,99213,Standard preparation/monitoring services for anesthesia
00174,99282,Standard preparation/monitoring services for anesthesia
00174,99283,Standard preparation/monitoring services for anesthesia
00176,93000,Standard preparation/monitoring services for anesthesia
00176,93010,Standard preparation/monitoring services for anesthesia
00176,99213,Standard preparation/monitoring services for anesthesia
00176,99282,Standard preparation/monitoring services for anesthesia
00176,99283,Standard preparation/monitoring services for anesthesia
00190,93000,Standard preparation/monitoring services for anesthesia
00190,93010,Standard preparation/monitoring services for anesthesia
00190,99213,Standard preparation/monitoring services for anesthesia
00190,99282,Standard preparation/monitoring services for anesthesia
00190,99283,Standard preparation/monitoring services for anesthesia
00192,93000,Standard preparation/monitoring services for anesthesia
00192,93010,Standard preparation/monitoring services for anesthesia
00192,99213,Standard preparation/monitoring services for anesthesia
00192,99282,Standard preparation/monitoring services for anesthesia
00192,99283,Standard preparation/monitoring services for anesthesia
00210,93000,Standard preparation/monitoring services for anesthesia
00210,93010,Standard preparation/monitoring services for anesthesia
00210,99213,Standard preparation/monitoring services for anesthesia
00210,99282,Standard preparation/monitoring services for anesthesia
00210,99283,Standard preparation/monitoring services for anesthesia
00211,93000,Standard preparation/monitoring services for anesthesia
00211,93010,Standard preparation/monitoring services for anesthesia
00211,99213,Standard preparation/monitoring services for anesthesia
00211,99282,Standard preparation/monitoring services for anesthesia
00211,99283,Standard preparation/monitoring services for anesthesia
00212,93000,Standard preparation/monitoring services for anesthesia
00212,93010,Standard preparation/monitoring services for anesthesia
00212,99213,Standard preparation/monitoring services for anesthesia
00212,99282,Standard preparation/monitoring services for anesthesia
00212,99283,Standard preparation/monitoring services for anesthesia
00214,93000,Standard preparation/monitoring services for anesthesia
00214,93010,Standard preparation/monitoring services for anesthesia
00214,99213,Standard preparation/monitoring services for anesthesia
00214,99282,Standard preparation/monitoring services for anesthesia
00214,99283,Standard preparation/monitoring services for anesthesia
00215,93000,Standard preparation/monitoring services for anesthesia
00215,93010,Standard preparation/monitoring services for anesthesia
00215,99213,Standard preparation/monitoring services for anesthesia
00215,99282,Standard preparation/monitoring services for anesthesia
00215,99283,Standard preparation/monitoring services for anesthesia
00216,93000,Standard preparation/monitoring services for anesthesia
00216,93010,Standard preparation/monitoring services for anesthesia
00216,99213,Standard preparation/monitoring services for anesthesia
00216,99282,Standard preparation/monitoring services for anesthesia
00216,99283,Standard preparation/monitoring services for anesthesia
00218,93000,Standard preparation/monitoring services for anesthesia
00218,93010,Standard preparation/monitoring services for anesthesia
00218,99213,Standard preparation/monitoring services for anesthesia
00218,99282,Standard preparation/monitoring services for anesthesia
00218,99283,Standard preparation/monitoring services for anesthesia
0021A,99213,CPT Manual or CMS manual coding instruction
0021A,99282,CPT Manual or CMS manual coding instruction
0021A,99283,CPT Manual or CMS manual coding instruction
00220,93000,Standard preparation/monitoring services for anesthesia
00220,93010,Standard preparation/monitoring services for anesthesia
00220,99213,Standard preparation/monitoring services for anesthesia
00220,99282,Standard preparation/monitoring services for anesthesia
00220,99283,Standard preparation/monitoring services for anesthesia
00222,93000,Standard preparation/monitoring services for anesthesia
00222,93010,Standard preparation/monitoring services for anesthesia
00222,99213,Standard preparation/monitoring services for anesthesia
00222,99282,Standard preparation/monitoring services for anesthesia
00222,99283,Standard preparation/monitoring services for anesthesia
0022A,99213,CPT Manual or CMS manual coding instruction
0022A,99282,CPT Manual or CMS manual coding instruction
0022A,99283,CPT Manual or CMS manual coding instruction
00300,93000,Standard preparation/monitoring services for anesthesia
00300,93010,Standard preparation/monitoring services for anesthesia
00300,99213,Standard preparation/monitoring services for anesthesia
00300,99282,Standard preparation/monitoring services for anesthesia
00300,99283,Standard preparation/monitoring services for anesthesia
0031A,99213,CPT Manual or CMS manual coding instruction
0031A,99282,CPT Manual or CMS manual coding instruction
0031A,99283,CPT Manual or CMS manual coding instruction
00320,93000,Standard preparation/monitoring services for anesthesia
00320,93010,Standard preparation/monitoring services for anesthesia
00320,99213,Standard preparation/monitoring services for anesthesia
00320,99282,Standard preparation/monitoring services for anesthesia
00320,99283,Standard preparation/monitoring services for anesthesia
00322,93000,Standard preparation/monitoring services for anesthesia
00322,93010,Standard preparation/monitoring services for anesthesia
00322,99213,Standard preparation/monitoring services for anesthesia
00322,99282,Standard preparation/monitoring services for anesthesia
00322,99283,Standard preparation/monitoring services for anesthesia
00326,93000,Standard preparation/monitoring services for anesthesia
00326,93010,Standard preparation/monitoring services for anesthesia
00326,99213,Standard preparation/monitoring services for anesthesia
00326,99282,Standard preparation/monitoring services for anesthesia
00326,99283,Standard preparation/monitoring services for anesthesia
00350,93000,Standard preparation/monitoring services for anesthesia
00350,93010,Standard preparation/monitoring services for anesthesia
00350,99213,Standard preparation/monitoring services for anesthesia
00350,99282,Standard preparation/monitoring services for anesthesia
00350,99283,Standard preparation/monitoring services for anesthesia
00352,93000,Standard preparation/monitoring services for anesthesia
00352,93010,Standard preparation/monitoring services for anesthesia
00352,99213,Standard preparation/monitoring services for anesthesia
00352,99282,Standard preparation/monitoring services for anesthesia
00352,99283,Standard preparation/monitoring services for anesthesia
00400,93000,Standard preparation/monitoring services for anesthesia
00400,93010,Standard preparation/monitoring services for anesthesia
00400,99213,Standard preparation/monitoring services for anesthesia
00400,99282,Standard preparation/monitoring services for anesthesia
00400,99283,Standard preparation/monitoring services for anesthesia
00402,93000,Standard preparation/monitoring services for anesthesia
00402,93010,Standard preparation/monitoring services for anesthesia
00402,99213,Standard preparation/monitoring services for anesthesia
00402,99282,Standard preparation/monitoring services for anesthesia
00402,99283,Standard preparation/monitoring services for anesthesia
00404,93000,Standard preparation/monitoring services for anesthesia
00404,93010,Standard preparation/monitoring services for anesthesia
00404,99213,Standard preparation/monitoring services for anesthesia
00404,99282,Standard preparation/monitoring services for anesthesia
00404,99283,Standard preparation/monitoring services for anesthesia
00406,93000,Standard preparation/monitoring services for anesthesia
00406,93010,Standard preparation/monitoring services for anesthesia
00406,99213,Standard preparation/monitoring services for anesthesia
00406,99282,Standard preparation/monitoring services for anesthesia
00406,99283,Standard preparation/monitoring services for anesthesia
00410,93000,Standard preparation/monitoring services for anesthesia
00410,93010,Standard preparation/monitoring services for anesthesia
00410,99213,Standard preparation/monitoring services for anesthesia
00410,99282,Standard preparation/monitoring services for anesthesia
00410,99283,Standard preparation/monitoring services for anesthesia
0041A,99213,CPT Manual or CMS manual coding instruction
0041A,99282,CPT Manual or CMS manual coding instruction
0041A,99283,CPT Manual or CMS manual coding instruction
0042A,99213,CPT Manual or CMS manual coding instruction
0042A,99282,CPT Manual or CMS manual coding instruction
0042A,99283,CPT Manual or CMS manual coding instruction
00450,93000,Standard preparation/monitoring services for anesthesia
00450,93010,Standard preparation/monitoring services for anesthesia
00450,99213,Standard preparation/monitoring services for anesthesia
00450,99282,Standard preparation/monitoring services for anesthesia
00450,99283,Standard preparation/monitoring services for anesthesia
00452,93000,Standard preparation/monitoring services for anesthesia
00452,93010,Standard preparation/monitoring services for anesthesia
00452,99213,Standard preparation/monitoring services for anesthesia
00452,99282,Standard preparation/monitoring services for anesthesia
00452,99283,Standard preparation/monitoring services for anesthesia
00454,93000,Standard preparation/monitoring services for anesthesia
00454,93010,Standard preparation/monitoring services for anesthesia
00454,99213,Standard preparation/monitoring services for anesthesia
00454,99282,Standard preparation/monitoring services for anesthesia
00454,99283,Standard preparation/monitoring services for anesthesia
00470,93000,Standard preparation/monitoring services for anesthesia
00470,93010,Standard preparation/monitoring services for anesthesia
00470,99213,Standard preparation/monitoring services for anesthesia
00470,99282,Standard preparation/monitoring services for anesthesia
00470,99283,Standard preparation/monitoring services for anesthesia
00472,93000,Standard preparation/monitoring services for anesthesia
00472,93010,Standard preparation/monitoring services for anesthesia
00472,99213,Standard preparation/monitoring services for anesthesia
00472,99282,Standard preparation/monitoring services for anesthesia
00472,99283,Standard preparation/monitoring services for anesthesia
00474,93000,Standard preparation/monitoring services for anesthesia
00474,93010,Standard preparation/monitoring services for anesthesia
00474,99213,Standard preparation/monitoring services for anesthesia
00474,99282,Standard preparation/monitoring services for anesthesia
00474,99283,Standard preparation/monitoring services for anesthesia
00500,93000,Standard preparation/monitoring services for anesthesia
00500,93010,Standard preparation/monitoring services for anesthesia
00500,99213,Standard preparation/monitoring services for anesthesia
00500,99282,Standard preparation/monitoring services for anesthesia
00500,99283,Standard preparation/monitoring services for anesthesia
00520,93000,Standard preparation/monitoring services for anesthesia
00520,93010,Standard preparation/monitoring services for anesthesia
00520,99213,Standard preparation/monitoring services for anesthesia
00520,99282,Standard preparation/monitoring services for anesthesia
00520,99283,Standard preparation/monitoring services for anesthesia
00522,93000,Standard preparation/monitoring services for anesthesia
00522,93010,Standard preparation/monitoring services for anesthesia
00522,99213,Standard preparation/monitoring services for anesthesia
00522,99282,Standard preparation/monitoring services for anesthesia
00522,99283,Standard preparation/monitoring services for anesthesia
00524,93000,Standard preparation/monitoring services for anesthesia
00524,93010,Standard preparation/monitoring services for anesthesia
00524,99213,Standard preparation/monitoring services for anesthesia
00524,99282,Standard preparation/monitoring services for anesthesia
00524,99283,Standard preparation/monitoring services for anesthesia
00528,93000,Standard preparation/monitoring services for anesthesia
00528,93010,Standard preparation/monitoring services for anesthesia
00528,99213,Standard preparation/monitoring services for anesthesia
00528,99282,Standard preparation/monitoring services for anesthesia
00528,99283,Standard preparation/monitoring services for anesthesia
00529,93000,Standard preparation/monitoring services for anesthesia
00529,93010,Standard preparation/monitoring services for anesthesia
00529,99213,Standard preparation/monitoring services for anesthesia
00529,99282,Standard preparation/monitoring services for anesthesia
00529,99283,Standard preparation/monitoring services for anesthesia
00530,93000,Standard preparation/monitoring services for anesthesia
00530,93010,Standard preparation/monitoring services for anesthesia
00530,99213,Standard preparation/monitoring services for anesthesia
00530,99282,Standard preparation/monitoring services for anesthesia
00530,99283,Standard preparation/monitoring services for anesthesia
00532,93000,Standard preparation/monitoring services for anesthesia
00532,93010,Standard preparation/monitoring services for anesthesia
00532,99213,Standard preparation/monitoring services for anesthesia
00532,99282,Standard preparation/monitoring services for anesthesia
00532,99283,Standard preparation/monitoring services for anesthesia
00534,93000,Standard preparation/monitoring services for anesthesia
00534,93010,Standard preparation/monitoring services for anesthesia
00534,99213,Standard preparation/monitoring services for anesthesia
00534,99282,Standard preparation/monitoring services for anesthesia
00534,99283,Standard preparation/monitoring services for anesthesia
00537,93000,Standard preparation/monitoring services for anesthesia
00537,93010,Standard preparation/monitoring services for anesthesia
00537,99213,Standard preparation/monitoring services for anesthesia
00537,99282,Standard preparation/monitoring services for anesthesia
00537,99283,Standard preparation/monitoring services for anesthesia
00539,93000,Standard preparation/monitoring services for anesthesia
00539,93010,Standard preparation/monitoring services for anesthesia
00539,99213,Standard preparation/monitoring services for anesthesia
00539,99282,Standard preparation/monitoring services for anesthesia
00539,99283,Standard preparation/monitoring services for anesthesia
00540,93000,Standard preparation/monitoring services for anesthesia
00540,93010,Standard preparation/monitoring services for anesthesia
00540,99213,Standard preparation/monitoring services for anesthesia
00540,99282,Standard preparation/monitoring services for anesthesia
00540,99283,Standard preparation/monitoring services for anesthesia
00541,93000,Standard preparation/monitoring services for anesthesia
00541,93010,Standard preparation/monitoring services for anesthesia
00541,99213,Standard preparation/monitoring services for anesthesia
00541,99282,Standard preparation/monitoring services for anesthesia
00541,99283,Standard preparation/monitoring services for anesthesia
00542,93000,Standard preparation/monitoring services for anesthesia
00542,93010,Standard preparation/monitoring services for anesthesia
00542,99213,Standard preparation/monitoring services for anesthesia
00542,99282,Standard preparation/monitoring services for anesthesia
00542,99283,Standard preparation/monitoring services for anesthesia
00546,93000,Standard preparation/monitoring services for anesthesia
00546,93010,Standard preparation/monitoring services for anesthesia
00546,99213,Standard preparation/monitoring services for anesthesia
00546,99282,Standard preparation/monitoring services for anesthesia
00546,99283,Standard preparation/monitoring services for anesthesia
00548,93000,Standard preparation/monitoring services for anesthesia
00548,93010,Standard preparation/monitoring services for anesthesia
00548,99213,Standard preparation/monitoring services for anesthesia
00548,99282,Standard preparation/monitoring services for anesthesia
00548,99283,Standard preparation/monitoring services for anesthesia
00550,93000,Standard preparation/monitoring services for anesthesia
00550,93010,Standard preparation/monitoring services for anesthesia
00550,99213,Standard preparation/monitoring services for anesthesia
00550,99282,Standard preparation/monitoring services for anesthesia
00550,99283,Standard preparation/monitoring services for anesthesia
00560,93000,Standard preparation/monitoring services for anesthesia
00560,93010,Standard preparation/monitoring services for anesthesia
00560,99213,Standard preparation/monitoring services for anesthesia
00560,99282,Standard preparation/monitoring services for anesthesia
00560,99283,Standard preparation/monitoring services for anesthesia
00561,93000,Standard preparation/monitoring services for anesthesia
00561,93010,Standard preparation/monitoring services for anesthesia
00561,99213,Standard preparation/monitoring services for anesthesia
00561,99282,Standard preparation/monitoring services for anesthesia
00561,99283,Standard preparation/monitoring services for anesthesia
00562,93000,Standard preparation/monitoring services for anesthesia
00562,93010,Standard preparation/monitoring services for anesthesia
00562,99213,Standard preparation/monitoring services for anesthesia
00562,99282,Standard preparation/monitoring services for anesthesia
00562,99283,Standard preparation/monitoring services for anesthesia
00563,93000,Standard preparation/monitoring services for anesthesia
00563,93010,Standard preparation/monitoring services for anesthesia
00563,99213,Standard preparation/monitoring services for anesthesia
00563,99282,Standard preparation/monitoring services for anesthesia
00563,99283,Standard preparation/monitoring services for anesthesia
00566,93000,Standard preparation/monitoring services for anesthesia
00566,93010,Standard preparation/monitoring services for anesthesia
00566,99213,Standard preparation/monitoring services for anesthesia
00566,99282,Standard preparation/monitoring services for anesthesia
00566,99283,Standard preparation/monitoring services for anesthesia
00567,93000,Standard preparation/monitoring services for anesthesia
00567,93010,Standard preparation/monitoring services for anesthesia
00567,99213,Standard preparation/monitoring services for anesthesia
00567,99282,Standard preparation/monitoring services for anesthesia
00567,99283,Standard preparation/monitoring services for anesthesia
00580,93000,Standard preparation/monitoring services for anesthesia
00580,93010,Standard preparation/monitoring services for anesthesia
00580,99213,Standard preparation/monitoring services for anesthesia
00580,99282,Standard preparation/monitoring services for anesthesia
00580,99283,Standard preparation/monitoring services for anesthesia
00600,93000,Standard preparation/monitoring services for anesthesia
00600,93010,Standard preparation/monitoring services for anesthesia
00600,99213,Standard preparation/monitoring services for anesthesia
00600,99282,Standard preparation/monitoring services for anesthesia
00600,99283,Standard preparation/monitoring services for anesthesia
00604,93000,Standard preparation/monitoring services for anesthesia
00604,93010,Standard preparation/monitoring services for anesthesia
00604,99213,Standard preparation/monitoring services for anesthesia
00604,99282,Standard preparation/monitoring services for anesthesia
00604,99283,Standard preparation/monitoring services for anesthesia
00620,93000,Standard preparation/monitoring services for anesthesia
00620,93010,Standard preparation/monitoring services for anesthesia
00620,99213,Standard preparation/monitoring services for anesthesia
00620,99282,Standard preparation/monitoring services for anesthesia
00620,99283,Standard preparation/monitoring services for anesthesia
00622,93000,Standard preparation/monitoring services for anesthesia
00622,93010,Standard preparation/monitoring services for anesthesia
00622,99213,Standard preparation/monitoring services for anesthesia
00622,99282,Standard preparation/monitoring services for anesthesia
00622,99283,Standard preparation/monitoring services for anesthesia
00625,93000,Standard preparation/monitoring services for anesthesia
00625,93010,Standard preparation/monitoring services for anesthesia
00625,99213,Standard preparation/monitoring services for anesthesia
00625,99282,Standard preparation/monitoring services for anesthesia
00625,99283,Standard preparation/monitoring services for anesthesia
00626,93000,Standard preparation/monitoring services for anesthesia
00626,93010,Standard preparation/monitoring services for anesthesia
00626,99213,Standard preparation/monitoring services for anesthesia
00626,99282,Standard preparation/monitoring services for anesthesia
00626,99283,Standard preparation/monitoring services for anesthesia
00630,93000,Standard preparation/monitoring services for anesthesia
00630,93010,Standard preparation/monitoring services for anesthesia
00630,99213,Standard preparation/monitoring services for anesthesia
00630,99282,Standard preparation/monitoring services for anesthesia
00630,99283,Standard preparation/monitoring services for anesthesia
00632,93000,Standard preparation/monitoring services for anesthesia
00632,93010,Standard preparation/monitoring services for anesthesia
00632,99213,Standard preparation/monitoring services for anesthesia
00632,99282,Standard preparation/monitoring services for anesthesia
00632,99283,Standard preparation/monitoring services for anesthesia
00634,93000,Standard preparation/monitoring services for anesthesia
00634,93010,Standard preparation/monitoring services for anesthesia
00634,99213,Standard preparation/monitoring services for anesthesia
00634,99282,Standard preparation/monitoring services for anesthesia
00634,99283,Standard preparation/monitoring services for anesthesia
00635,93000,Standard preparation/monitoring services for anesthesia
00635,93010,Standard preparation/monitoring services for anesthesia
00635,99213,Standard preparation/monitoring services for anesthesia
00635,99282,Standard preparation/monitoring services for anesthesia
00635,99283,Standard preparation/monitoring services for anesthesia
00640,93000,Standard preparation/monitoring services for anesthesia
00640,93010,Standard preparation/monitoring services for anesthesia
00640,99213,Standard preparation/monitoring services for anesthesia
00640,99282,Standard preparation/monitoring services for anesthesia
00640,99283,Standard preparation/monitoring services for anesthesia
00670,93000,Standard preparation/monitoring services for anesthesia
00670,93010,Standard preparation/monitoring services for anesthesia
00670,99213,Standard preparation/monitoring services for anesthesia
00670,99282,Standard preparation/monitoring services for anesthesia
00670,99283,Standard preparation/monitoring services for anesthesia
00700,93000,Standard preparation/monitoring services for anesthesia
00700,93010,Standard preparation/monitoring services for anesthesia
00700,99213,Standard preparation/monitoring services for anesthesia
00700,99282,Standard preparation/monitoring services for anesthesia
00700,99283,Standard preparation/monitoring services for anesthesia
00702,93000,Standard preparation/monitoring services for anesthesia
00702,93010,Standard preparation/monitoring services for anesthesia
00702,99213,Standard preparation/monitoring services for anesthesia
00702,99282,Standard preparation/monitoring services for anesthesia
00702,99283,Standard preparation/monitoring services for anesthesia
00730,93000,Standard preparation/monitoring services for anesthesia
00730,93010,Standard preparation/monitoring services for anesthesia
00730,99213,Standard preparation/monitoring services for anesthesia
00730,99282,Standard preparation/monitoring services for anesthesia
00730,99283,Standard preparation/monitoring services for anesthesia
00731,93000,Standard preparation/monitoring services for anesthesia
00731,93010,Standard preparation/monitoring services for anesthesia
00731,99213,Standard preparation/monitoring services for anesthesia
00731,99282,Standard preparation/monitoring services for anesthesia
00731,99283,Standard preparation/monitoring services for anesthesia
00732,93000,Standard preparation/monitoring services for anesthesia
00732,93010,Standard preparation/monitoring services for anesthesia
00732,99213,Standard preparation/monitoring services for anesthesia
00732,99282,Standard preparation/monitoring services for anesthesia
00732,99283,Standard preparation/monitoring services for anesthesia
00740,93000,Standard preparation/monitoring services for anesthesia
00740,93010,Standard preparation/monitoring services for anesthesia
00740,99213,Standard preparation/monitoring services for anesthesia
00740,99282,Standard preparation/monitoring services for anesthesia
00740,99283,Standard preparation/monitoring services for anesthesia
00750,93000,Standard preparation/monitoring services for anesthesia
00750,93010,Standard preparation/monitoring services for anesthesia
00750,99213,Standard preparation/monitoring services for anesthesia
00750,99282,Standard preparation/monitoring services for anesthesia
00750,99283,Standard preparation/monitoring services for anesthesia
00752,93000,Standard preparation/monitoring services for anesthesia
00752,93010,Standard preparation/monitoring services for anesthesia
00752,99213,Standard preparation/monitoring services for anesthesia
00752,99282,Standard preparation/monitoring services for anesthesia
00752,99283,Standard preparation/monitoring services for anesthesia
00754,93000,Standard preparation/monitoring services for anesthesia
00754,93010,Standard preparation/monitoring services for anesthesia
00754,99213,Standard preparation/monitoring services for anesthesia
00754,99282,Standard preparation/monitoring services for anesthesia
00754,99283,Standard preparation/monitoring services for anesthesia
00756,93000,Standard preparation/monitoring services for anesthesia
00756,93010,Standard preparation/monitoring services for anesthesia
00756,99213,Standard preparation/monitoring services for anesthesia
00756,99282,Standard preparation/monitoring services for anesthesia
00756,99283,Standard preparation/monitoring services for anesthesia
00770,93000,Standard preparation/monitoring services for anesthesia
00770,93010,Standard preparation/monitoring services for anesthesia
00770,99213,Standard preparation/monitoring services for anesthesia
00770,99282,Standard preparation/monitoring services for anesthesia
00770,99283,Standard preparation/monitoring services for anesthesia
00790,93000,Standard preparation/monitoring services for anesthesia
00790,93010,Standard preparation/monitoring services for anesthesia
00790,99213,Standard preparation/monitoring services for anesthesia
00790,99282,Standard preparation/monitoring services for anesthesia
00790,99283,Standard preparation/monitoring services for anesthesia
00792,93000,Standard preparation/monitoring services for anesthesia
00792,93010,Standard preparation/monitoring services for anesthesia
00792,99213,Standard preparation/monitoring services for anesthesia
00792,99282,Standard preparation/monitoring services for anesthesia
00792,99283,Standard preparation/monitoring services for anesthesia
00794,93000,Standard preparation/monitoring services for anesthesia
00794,93010,Standard preparation/monitoring services for anesthesia
00794,99213,Standard preparation/monitoring services for anesthesia
00794,99282,Standard preparation/monitoring services for anesthesia
00794,99283,Standard preparation/monitoring services for anesthesia
00796,93000,Standard preparation/monitoring services for anesthesia
00796,93010,Standard preparation/monitoring services for anesthesia
00796,99213,Standard preparation/monitoring services for anesthesia
00796,99282,Standard preparation/monitoring services for anesthesia
00796,99283,Standard preparation/monitoring services for anesthesia
00797,93000,Standard preparation/monitoring services for anesthesia
00797,93010,Standard preparation/monitoring services for anesthesia
00797,99213,Standard preparation/monitoring services for anesthesia
00797,99282,Standard preparation/monitoring services for anesthesia
00797,99283,Standard preparation/monitoring services for anesthesia
00800,93000,Standard preparation/monitoring services for anesthesia
00800,93010,Standard preparation/monitoring services for anesthesia
00800,99213,Standard preparation/monitoring services for anesthesia
00800,99282,Standard preparation/monitoring services for anesthesia
00800,99283,Standard preparation/monitoring services for anesthesia
00802,93000,Standard preparation/monitoring services for anesthesia
00802,93010,Standard preparation/monitoring services for anesthesia
00802,99213,Standard preparation/monitoring services for anesthesia
00802,99282,Standard preparation/monitoring services for anesthesia
00802,99283,Standard preparation/monitoring services for anesthesia
00810,93000,Standard preparation/monitoring services for anesthesia
00810,93010,Standard preparation/monitoring services for anesthesia
00810,99213,Standard preparation/monitoring services for anesthesia
00810,99282,Standard preparation/monitoring services for anesthesia
00810,99283,Standard preparation/monitoring services for anesthesia
00811,93000,Standard preparation/monitoring services for anesthesia
00811,93010,Standard preparation/monitoring services for anesthesia
00811,99213,Standard preparation/monitoring services for anesthesia
00811,99282,Standard preparation/monitoring services for anesthesia
00811,99283,Standard preparation/monitoring services for anesthesia
00812,93000,Standard preparation/monitoring services for anesthesia
00812,93010,Standard preparation/monitoring services for anesthesia
00812,99213,Standard preparation/monitoring services for anesthesia
00812,99282,Standard preparation/monitoring services for anesthesia
00812,99283,Standard preparation/monitoring services for anesthesia
00813,93000,Standard preparation/monitoring services for anesthesia
00813,93010,Standard preparation/monitoring services for anesthesia
00813,99213,Standard preparation/monitoring services for anesthesia
00813,99282,Standard preparation/monitoring services for anesthesia
00813,99283,Standard preparation/monitoring services for anesthesia
00820,93000,Standard preparation/monitoring services for anesthesia
00820,93010,Standard preparation/monitoring services for anesthesia
00820,99213,Standard preparation/monitoring services for anesthesia
